"Countries","Years","Wages"
"South Korea",2000,8257.9
"South Korea",2001,8925
"South Korea",2002,9400.9
"South Korea",2003,10103.4
"South Korea",2004,10983.5
"South Korea",2005,11378.9
"South Korea",2006,12457.9
"South Korea",2007,12893.5
"South Korea",2008,13313.1
"South Korea",2009,13288.6
"South Korea",2010,13427
"South Korea",2011,12882.6
"South Korea",2012,13494.6
"South Korea",2013,14284.3
"South Korea",2014,15191.4
"South Korea",2015,16258.6
"South Korea",2016,17112.2
"South Korea",2017,19626.1
"South Korea",2018,21680.3
"South Korea",2019,22184.3
"South Korea",2020,21971.1
"Netherlands",2000,25518.5
"Netherlands",2001,25798.7
"Netherlands",2002,26056.9
"Netherlands",2003,25891.3
"Netherlands",2004,25461.5
"Netherlands",2005,25457.6
"Netherlands",2006,25649
"Netherlands",2007,25731.9
"Netherlands",2008,26261.8
"Netherlands",2009,26339.9
"Netherlands",2010,25920.3
"Netherlands",2011,25824.9
"Netherlands",2012,25506.7
"Netherlands",2013,25620.9
"Netherlands",2014,25663.2
"Netherlands",2015,26077.7
"Netherlands",2016,26185.2
"Netherlands",2017,26202.9
"Netherlands",2018,26167.7
"Netherlands",2019,26492.6
"Netherlands",2020,26205.9
"New Zealand",2000,14714.8
"New Zealand",2001,14823.1
"New Zealand",2002,15390.9
"New Zealand",2003,15923.6
"New Zealand",2004,16352.5
"New Zealand",2005,16972.6
"New Zealand",2006,18100.8
"New Zealand",2007,18697.6
"New Zealand",2008,19182.1
"New Zealand",2009,19224
"New Zealand",2010,18843.8
"New Zealand",2011,19276.7
"New Zealand",2012,19505.8
"New Zealand",2013,19885.2
"New Zealand",2014,20529
"New Zealand",2015,21094.5
"New Zealand",2016,21395.8
"New Zealand",2017,21817.4
"New Zealand",2018,22580.4
"New Zealand",2019,24253.5
"New Zealand",2020,24745.2
"United States",2000,16392.9
"United States",2001,16136.9
"United States",2002,15778.7
"United States",2003,15367.3
"United States",2004,14863
"United States",2005,14398.6
"United States",2006,14833
"United States",2007,16117
"United States",2008,18013.5
"United States",2009,18739.4
"United States",2010,18165.9
"United States",2011,17797.6
"United States",2012,17540.7
"United States",2013,17260.7
"United States",2014,17240.2
"United States",2015,17025.4
"United States",2016,16670.3
"United States",2017,16272.9
"United States",2018,15983.2
"United States",2019,15788.4
"United States",2020,15080
